cumpop,L_utci_mean,L_tsd,L_hdh
0.00024696154533598066,0.00023087353419680212,0.00013114528681744292,0.00015513295981875282
0.00024947517349958675,0.0002332242159245127,0.00013251823704378115,0.00015671266941282125
0.00025198059697961744,0.00023556722483886064,0.0001338867058506577,0.00015828722270829786
0.00025428234567413937,0.00023771976222538958,0.00013514392696111182,0.0001597337749663114
0.0002616503070380919,0.0002446100940570768,0.00013916832657946175,0.00016436422883529713
0.0002679290508462519,0.00025048181707343706,0.0001425977927420966,0.00016831015527583268
0.0002692676212639612,0.0002517336144027799,0.00014332892337811206,0.00016915139049184733
0.00027086615288570505,0.00025322852090041003,0.0001442020454984234,0.00017015600039232992
0.00027351887678072934,0.0002557092814516241,0.000145650970174244,0.0001718231258041381
0.0002775075027633234,0.00025943934397706323,0.00014782956803723296,0.00017432980949868074
0.00028378133104762354,0.00026530647011935657,0.0001512563493279788,0.00017827264673918515
0.00029086200179207253,0.0002719281350019748,0.00015512383006437827,0.0001827225505353771
0.0002934929614439536,0.00027438854218135177,0.0001565608670541114,0.00018437599803563143
0.00029642485528468877,0.0002771303754321043,0.0001581622750787821,0.00018621857001825716
0.0002986682377068394,0.0002792283301512506,0.00015938761637979465,0.0001876284415285889
0.00030089905767582455,0.00028131453678070773,0.00016060609603628614,0.00018903041806540082
0.000303095345953756,0.0002833684502427179,0.00016180571439350732,0.00019041069288656249
0.00030503944202942603,0.0002851865199111589,0.0001628675847153632,0.0001916324755141572
0.0003078672523711918,0.00028783101689606035,0.00016441214206277892,0.00019340963539475175
0.0003104343577912505,0.0002902317092066452,0.00016581430170537596,0.00019502295319559707
0.0003179259674178895,0.00029723767377827715,0.00016990623832569766,0.00019973111479784414
0.0003229533982896989,0.0003019392004634079,0.00017265223411508612,0.00020289064367992016
0.0003265752022167453,0.00030532622024458523,0.00017463047281935704,0.0002051667951386872
0.00032882144980749087,0.0003074268543972136,0.0001758573790828919,0.00020657846728699066
0.00033430408809511893,0.0003125540795886613,0.00017885201034415637,0.00021002407488686248
0.0003384464579614831,0.00031642791952062304,0.0001811145835154572,0.00021262738014689252
0.00034773916338060875,0.0003251182234987569,0.0001861902833318452,0.00021846745471241008
0.00034988180937316156,0.0003271219720469989,0.00018736060213357994,0.00021981401761305493
0.00035240297122958605,0.00032947969909442176,0.00018873766728248704,0.0002213984618162419
0.00035857084713709523,0.0003352477412434116,0.00019210657711006166,0.0002252747124435971
0.00036039280250427144,0.0003369515879986059,0.00019310173385995826,0.0002264197347723427
0.00036298643244995474,0.00033937708537726914,0.00019451838126728797,0.00022804972212209503
0.0003653674064477849,0.0003416037122713694,0.0001958188754440148,0.00022954606415153975
0.0003702866321756185,0.00034620404823208393,0.00019850576930294936,0.00023263759065102752
0.00037284186910681777,0.0003485936414309142,0.0001999014463461302,0.0002342434496057357
0.0003751410080605471,0.00035074373825360634,0.0002011572420093906,0.00023568836175140968
0.00037793077828329177,0.0003533526610776206,0.00020268102174507516,0.00023744161501691805
0.0003794037806660315,0.0003547301757936448,0.00020348557946926852,0.00023836733506962517
0.0003806996359154646,0.00035594202697382507,0.00020419337896951696,0.00023918172559869881
0.00038623308843099407,0.00036111677235094094,0.00020721576509393446,0.00024265926780389258
